tn,en
خَالْ,uncle
خَالْ الكْبِيرْ,elder uncle
خَالَة,the aunt
خَالَة الكْبِيرَة,elder aunt
خَانِتُّو مْعَ رَاجِلْ آخِرْ,she betrayed him with an other man
خَانْهَا مْعَ مْرَا أخْرَى,he betrayed her with another woman
خُبْزْ العَائِلَة,bread of the family: what a family lives by
خْذَاتْ الحَضَانَة,she got custody of the children
خَرْطَة,close relations
خَرْطَة,masturbation (slang)
خَطِيبْ,fiance
خَطِيبَة,fiancee
خَلَّا وْصِيَّة,he left a will before his departure or death
خُو,brother
خُو الصْغِيرْ,younger brother
خُو الكْبِيرْ,elder brother
خُو المُتْوَسِّطْ,middle brother
خْوَاتْ,brothers and sisters
خْوَاتْ مِنْ الأُمْ,siblings from your mother
خْوَاتْ مِنْ البُو,siblings from your brothers
دَفْتِرْ العَايْلِي,family register
دَمْ وَاحِدْ,"the same family, same blood"
دَمْ يِجْبِدْ,"your blood/history always has an impact, you always remember/love your relatives and home"
ذِرِيَّة,offspring
رَاجِلْ أُمْ,The mother's husband
رَاجِلْ وْ مَرْتُو,a man and his wife
رَاجِلْهَا لُولَانِي,a woman's first husband
رَبْ العَايِلَة,"head of the house, guardian"
رَبِّي رْزَقْهَا بِالصْغَارْ,God gave her children
رْجَعْ عْلِيهْ دْعَاءْ الوَالْدِينْ,his parents' curse came back on him
رِعَايَةْ المُسِنِّينْ,care for the elderly
زَوَاجْ,marriage
زَوَاجْ المُتْعَة,temporary marriage
زَوَاجْ غَيْرْ شَرْعِي,illegal marriage
زَوْجِيَّة,marital
سَالِيبَاتَارْ,"single, unmarried"
شَجْرَةْ العَايْلَةْ,family tree
شَهْرْ العَسَلْ,honeymoon
صَاحِبْ الوَصِيَّةْ,someone who left a will
صَبْ عْلَاهَا النَّفْقَة,to make alimony payments
صَحْحُّو الصداق,they signed a marriage license
صْدَاقْ,marriage contract
صْدَاقْ,marriage contract signing party
طَاقِمْ ذْهَبْ,set of gold jewelry
طَالِبْ بِالطْلَاقْ,he demanded a divorce
طِفْلْ غَيْرْ شَرْعِي,illegitimate child
طْفُلْ كَبُّولْ,bastard (crass)
طَلَاقْ بِالتَّرَاضِي,divorce by mutual consent
طْلَاقْ بِالضَّرَرْ,divorce claiming damages
طَلِّقْ,to divorce
طَلْقُو بِسْبَبْ الفَرْشْ,to divorce for sexual reasons
طَلِيقْ,divorcee
طَلِيقْ,"fluidity or fluency of speech, to be articulate"
عَازِبْ,"a single man, bachelor"
عَاشْ وَحْدَانِي,"to live alone, be single"
عَايْلَةْ,family
عَايَلْةْ المَرْحُومْ,the family of the deceased
عَايْلَةْ كْبِيرَةْ,"a big family, powerful family, good name"
عَايْلَة مُوَسْعَة,extended family
عَايْلَة نَوَاتِيَّة,nuclear family
عَرِّسْ,to marry
عَرْشْ,"large family, tribe"
عُرْفِي,"illegal marriage, but not anti-Islamic"
عْزِيزَةْ,"grandmother, grandma"
عْزِيزَةْ,Aziza
عْزِيزَةْ,"Dear, beloved"
عْزِيزِي,"grandfather, grandpa"
عْزِيزِي,my beloved(male)
عْطَاهْ وْصِيَّةْ,to make a will
عْطَاهْ وْصِيَّةْ,"to ask somebody to get something, pass on message"
عْطَى القَسَمْ مْعَ مَرْتُو,swear with his wife
عَمّْ,paternal uncle
عَمَّةْ,paternal aunt
عْمُرْ مْتَاعْ جِيبَانْ صْغَارْ,"the age for having children, child-bearing age"
عُمْرُو مْتَاعْ عِرْسْ,he's at the age for marrying
عْمَلْ بَحْثْ جِينُولُوجِي,to do genealogical research
عَنْدُو الحَقّْ بِشْ يُورِثْ,he has the right to the inheritance
عِيدْ مِيلَادْ زَوَاجْ,anniversary
فَامِيلْيَا,family
فْقِدْ وَالْدِيهْ,to lose one's parents
فَكّْهَا مِنْ دَارْ بُوهَا,he married her by force
فَلْذِةْ كبدو,his dear son/daughter
قَرَابَةْ,familial relationship
قَرَابَةْ بْعِيدَةْ,distant relationship
قَرَابَةْ مُبَاشْرَةْ,close relationship
ڨْرَيِّدْ العِشّْ,the youngest in the family
قْسِمْ أَمْلَاكُو,to divide one's property
قِسْمُو الوَرْثَةْ,to divide the inheritance
قْعَدْ مَعَ دَارْ أَنْسَابُو,to stay with one's in-laws
كْتِبْ وُصِيَّةْ,He wrote his will
كْتِبْلُو الوَرْثَةْ بِسْمُو,he put the inheritance in his name
كِنَّة,daughter-in-law
كُوبِلْ مَيْجِبُوشْ الصّْغَارْ,"sterile, infertile couple"
كُوزَانْ,my cousin
كَوِّنْ عَايْلَةْ,to start a family
لَقِيطْ,"illegitimate child, bastard (rude)"
لَوِّجْ عَلَى شَجْرِةْ العَايْلَةْ,to research one's family tree
مَاخِذْ,engaged to or married to
مَامِي,"mommy, mom"
مُتْزَوِّجْ,married
مَدَامْ وْ مُوسْيُو,Mr. and Mrs.
مْرَا فُرْصَةْ,she's a catch
مْرَا مَا تْجِيبِشْ الصْغَارْ,infertile woman
مْرَا وَلّاَدَةْ,woman who has many children
مَرْطْ,wife of…
مَرْطْ بَابَا,stepmother
مَرْطُو لُولَا,his first wife
مَرْطُو نْهَارْ آخِرْ,"his wife to be, future wife"
مُسْتَبْنِي,adoptive
مُسْتَنْفَعْ مِلْ الوَرْثَة,beneficiary of the inheritance
مُطَلَقْ,divorced
مَعَرْسِينْ جُدُدْ,newlyweds
مَمَّاتِي,"my grandmother, grandma"
مَنْعْ الحَمْلْ,"contraception, birth control"
مِيمَةْ,"mom, mommy"
نَابُو فِي المِيرَاثْ,his share of the inheritance
نَاسِبْ,"marrying, married to (esp regarding in-laws)"
نَانَا,Grandma
نَانَاتِي,Grandma
نْسَبْ,"family relations, origins, coming from a good family"
هَجَّالْ,widower
هَرْبِتْ مَعَاهْ,she eloped with him
وَالْدَة,mother
وِرَاثِي,hereditary
وَرْثَة,"inheritance, heritage"
وَرْثَى,to inherit
وَرِيثْ,heir
وْفَى المَكْتُوبْ,"they broke up, got divorced, it's over"
وَقْفِتْ لِحْبَالَةْ,"to block pregnancy, use contraception"
وَلَّادَةْ,a woman who has a lot of kids
وْلَادِي,my children
وِلْدْ,son
وِلْد خَالِي,my cousin
وِلْدْ خُويَا,my nephew
وَلَّى يْتِيمْ,he became an orphan
وْلِيْ,"guardian, father"
يْتِيمَةْ,orphan
إلِمْ وْلَادُو,"to gather one's children, get them all together"
أمْ عَازْبَة,single mother
تعاشر,"to live together, spend life together, be a life partner"
إستبنى,to adopt
بَابِي,daddy
إِجْهَاضْ,abortion
أَهْلْ,"family, kin"
إسْمْ عَلْ الرَّابَعْ,"full name, including father's, grandfather's and great grandfather's name"
بْقَى كِي العَتْرُوسْ,"he is still single, still hasn't settled down"
إكُونْشْ,is he related to you?
بو,father
بني,from the family of
پَاپَا,"daddy, pops"
إلِمْ الفَامِيلْيَا,to gather the family together
أنساب,"relatives, in-laws"
أبَويَّة,of or relating to the father
أُخْتْ,sister
أُخْتْ صْغِيرَةْ,younger sister
أُخْتْ لِكْبِيرَة,older sister
أرْمْلَة,widow
أسْرَة,family
إسْمْ ثُلَاثِي,"name, father's name and grandfather's name"
أقَارِبْ,relatives
أُمْ,mother
أُمُومَة,motherhood
أُّمِّي,"Mom, my mother"
إهْمَالْ عِيَالْ,family/domestic neglect
بَابَا,Dad
بَارْ,"to remain unmarried (man) late into life, be a spinster"
بَايِرة,"older woman who hasn't married, spinster"
بِنْتْ,daughter
بِنْتْ أُخْتْ,niece
بِنْتْ خَالْ,cousin (on maternal uncle's side)
بِنْتْ خَالْتِي,cousin (on maternal aunt's side)
بِنْتْ عَمْ,cousin (on paternal uncle's side)
بِنْتْ عمَّة,cousin (on paternal aunt's side)
بِنْتْ لْخُو,niece
تَبَنِّي,adoption
تَحْتْ سْقَفْ وَاحِدْ,"under the same roof, living together"
تَحَكُّمْ فِي الوِلَادَاتْ,birth control
تْرَمِّلْ,to become a widow(er)
وْرِثْ,to inherit
وَلَّي بُو عَاْيلَةْ,to become a father
نْسِيبْ,"in-law, father-in-law"
وِلْدْ عَمِّي,cousin (father's brother's son)
وِلْدْ عَمْتِي,cousin (father's sister's son)
طْلَاقْ,divorce
وَرْقَةْ الطّْلَاقْ,divorce papers
عَايْلِي,familial
وَالِدْ,"father, dad"
مِلْ العَايْلَةْ,"related, from our family"
مَمَّاتْ,"grandmother, grandma"
مَعَنْدُوشْ بُو,fatherless
وَارِثْ,"heir, one who inherits"
يْكُونْ مِنُّو مِنْ بْعِيدْ,distantly related to
وِرَاثَةْ,inheritance
عَانِسْ,"spinster, older single woman"
يَامِي,mommy
يَمَّا,"mom, mommy"
مَعَرِّسْ,married
عَاوِدْ عَرِّسْ,to remarry
يْتِيمْ الأُمّْ,"orphan, his mother died"
وِلْدْ خَالْتِي,my cousin (maternal aunt)
وِلْدْ أُخْتِي,my nephew (sister's son)
وِلْدِي,my son
مَاهُوشْ مَعَرِّسْ,"unmarried, single"
نَسْلْ,"genaeology, ancestry"
يْتِيمْ,orphan
يْتِيمْ البُو,"orphan, father died"
وَلِيّْ الأَمْرْ,"parent, guardian"
وَالْدِينْ,parents
عَنْدْهَا بَرْشَا ذِرِّي,she has a lot of children
عُنُوسَةْ,"singleness for an older woman, spinsterhood"
عُزُوبِيَّةْ,"celibacy, singleness"
هَجَّالَةْ,widow
تَحِيَّة المَسْجِدْ,prayers done before sitting in the mosque
